,Year,Sector,School,Locality,Number of Unit 3/4 VCE Stubjects Offered, Number of VET Subjects Offered,IB Offered,Number of VCE Enrollments,Number of VET Enrollments,Number of VCAL Enrollments,Percentage of VCE students applying for tertiary places,VCE Percentage of Sastisfactory Completion,Number of students awarded the VCE (Baccalaureate),VET Percentage of Sastisfactory Completion,VCAL Percentage of Sastisfactory Completion,Median VCE study score,Percentage of study scores of 40 and over
303,2017,CATHOLIC,MARY MACKILLOP CATHOLIC REGIONAL COLLEGE,LEONGATHA,29,7,0,111,64,20,84,98,0,98.0,99.0,30.0,4.9
304,2017,GOVERNMENT,MARYBOROUGH EDUCATION CENTRE,MARYBOROUGH,37,24,0,111,122,46,54,90,1,55.0,48.0,24.0,1.2
305,2017,CATHOLIC,MARYMEDE CATHOLIC COLLEGE,SOUTH MORANG,47,28,0,162,223,44,90,99,7,88.0,100.0,30.0,4.7
306,2017,CATHOLIC,MATER CHRISTI COLLEGE,BELGRAVE,57,25,0,225,132,14,88,100,0,88.0,89.0,32.0,10.9
307,2017,GOVERNMENT,MATTHEW FLINDERS GIRLS' SECONDARY COLLEGE,GEELONG,53,25,0,158,76,47,73,99,5,93.0,80.0,26.0,1.8
309,2017,GOVERNMENT,MCCLELLAND SECONDARY COLLEGE,FRANKSTON,46,32,0,152,147,163,54,98,3,69.0,86.0,29.0,3.8
310,2017,GOVERNMENT,MCGUIRE COLLEGE SHEPPARTON,SHEPPARTON,45,20,0,98,67,29,80,94,0,65.0,45.0,24.0,3.3
311,2017,GOVERNMENT,MCKINNON SECONDARY COLLEGE,MCKINNON,53,20,0,530,119,26,95,100,51,93.0,100.0,33.0,17.3
312,2017,GOVERNMENT,MELBA COLLEGE SENIOR CAMPUS,CROYDON,43,22,0,109,59,32,57,96,2,94.0,82.0,28.0,4.1
314,2017,GOVERNMENT,MELBOURNE GIRLS' COLLEGE,RICHMOND,50,14,0,381,25,0,96,100,33,98.0,0.0,33.0,14.6
315,2017,INDEPENDENT,MELBOURNE GRAMMAR SCHOOL,MELBOURNE,42,2,0,379,0,0,99,100,68,0.0,0.0,34.0,22.8
316,2017,SELECTIVE,MELBOURNE HIGH SCHOOL,SOUTH YARRA,59,17,0,686,71,0,94,100,121,99.0,0.0,36.0,30.6
318,2017,INDEPENDENT,MELBOURNE RUDOLF STEINER SCHOOL,WARRANWOOD,17,0,0,60,0,0,90,100,5,0.0,0.0,31.0,6.7
319,2017,INDEPENDENT,MELTON CHRISTIAN COLLEGE,BROOKFIELD,35,17,0,62,23,12,66,96,0,70.0,73.0,26.0,0.7
320,2017,GOVERNMENT,MELTON SECONDARY COLLEGE,MELTON,50,29,0,159,139,99,84,94,1,56.0,75.0,27.0,4.4
321,2017,INDEPENDENT,MENTONE GIRLS' GRAMMAR SCHOOL,MENTONE,38,4,0,168,30,0,98,99,26,100.0,0.0,34.0,20.9
323,2017,INDEPENDENT,MENTONE GRAMMAR SCHOOL,MENTONE,46,14,0,264,62,7,93,99,13,89.0,100.0,35.0,21.2
324,2017,CATHOLIC,MERCY COLLEGE,COBURG,34,13,0,126,27,12,96,98,1,99.0,100.0,29.0,4.0
325,2017,CATHOLIC,MERCY REGIONAL COLLEGE CAMPERDOWN,CAMPERDOWN,33,15,0,148,67,8,77,98,1,96.0,100.0,28.0,1.7
327,2017,INDEPENDENT,METHODIST LADIES COLLEGE,KEW,46,12,1,384,133,0,99,100,45,99.0,0.0,36.0,28.3
328,2017,GOVERNMENT,MILDURA SENIOR COLLEGE,MILDURA,69,43,0,548,380,190,62,95,3,78.0,71.0,27.0,2.1
329,2017,GOVERNMENT,MILL PARK SECONDARY COLLEGE,EPPING,67,32,0,431,269,75,80,95,5,75.0,93.0,25.0,2.2
330,2017,INDEPENDENT,MINARET COLLEGE,SPRINGVALE,23,0,0,156,0,0,100,100,0,0.0,0.0,27.0,4.7
331,2017,INDEPENDENT,MINARET COLLEGE - OFFICER CAMPUS (SENIOR),OFFICER,13,0,0,45,0,0,100,100,0,0.0,0.0,25.0,0.9
332,2017,GOVERNMENT,MIRBOO NORTH SECONDARY COLLEGE,MIRBOO NORTH,30,17,0,72,38,33,66,100,2,78.0,90.0,29.0,1.5
333,2017,GOVERNMENT,MONBULK COLLEGE,MONBULK,33,23,0,86,78,46,75,98,3,100.0,83.0,29.0,5.7
334,2017,CATHOLIC,MONIVAE COLLEGE,HAMILTON,39,21,0,109,71,27,70,100,0,87.0,99.0,29.0,2.9
335,2017,GOVERNMENT,MONTEREY SECONDARY COLLEGE,FRANKSTON NORTH,20,17,0,51,82,58,58,92,0,70.0,75.0,22.0,0.0
336,2017,GOVERNMENT,MONTMORENCY SECONDARY COLLEGE,MONTMORENCY,34,24,0,122,46,39,89,98,5,99.0,79.0,29.0,5.9
337,2017,GOVERNMENT,MOOROOLBARK COLLEGE,MOOROOLBARK,51,26,0,203,152,80,77,97,0,85.0,71.0,27.0,2.5
338,2017,GOVERNMENT,MOOROOPNA SECONDARY COLLEGE,MOOROOPNA,35,19,0,76,57,37,61,97,0,79.0,86.0,23.0,1.3
339,2017,GOVERNMENT,MORDIALLOC COLLEGE,MORDIALLOC,41,25,0,133,68,34,77,94,2,93.0,97.0,27.0,5.7
340,2017,GOVERNMENT,MORNINGTON SECONDARY COLLEGE,MORNINGTON,55,34,0,364,135,113,68,96,2,76.0,92.0,27.0,1.1
341,2017,GOVERNMENT,MORTLAKE COLLEGE,MORTLAKE,19,7,0,22,10,0,50,100,0,100.0,0.0,33.0,13.3
342,2017,GOVERNMENT,MOUNT ALEXANDER 7-12 COLLEGE,FLEMINGTON,27,18,0,64,42,39,93,94,0,85.0,94.0,26.0,1.5
343,2017,GOVERNMENT,MOUNT BEAUTY SECONDARY COLLEGE,MOUNT BEAUTY,28,12,0,59,34,0,44,96,2,100.0,0.0,27.0,2.1
344,2017,GOVERNMENT,MOUNT CLEAR COLLEGE,MOUNT CLEAR,53,29,0,168,141,66,57,90,0,73.0,60.0,24.0,1.3
345,2017,GOVERNMENT,MOUNT ELIZA SECONDARY COLLEGE,MOUNT ELIZA,43,26,0,162,89,29,84,99,4,89.0,72.0,28.0,4.2
346,2017,GOVERNMENT,MOUNT ERIN COLLEGE,FRANKSTON,42,22,0,133,64,37,68,99,1,92.0,88.0,27.0,0.9
347,2017,INDEPENDENT,MOUNT EVELYN CHRISTIAN SCHOOL,MOUNT EVELYN,36,18,0,101,70,48,83,100,2,89.0,75.0,30.0,5.4
348,2017,CATHOLIC,MOUNT LILYDALE MERCY COLLEGE,LILYDALE,53,26,0,312,209,39,89,99,6,89.0,97.0,29.0,4.7
349,2017,GOVERNMENT,MOUNT RIDLEY P-12 COLLEGE,CRAIGIEBURN,49,28,0,202,152,84,99,99,1,66.0,46.0,25.0,2.1
351,2017,CATHOLIC,MOUNT ST JOSEPH GIRLS' COLLEGE,ALTONA,51,21,0,213,53,28,100,100,13,89.0,95.0,31.0,7.6
352,2017,GOVERNMENT,MOUNT WAVERLEY SECONDARY COLLEGE,MOUNT WAVERLEY,59,15,0,439,38,0,97,99,37,80.0,0.0,30.0,5.9
353,2017,INDEPENDENT,MOUNTAIN DISTRICT CHRISTIAN SCHOOL,MONBULK,20,8,0,23,8,0,57,93,0,85.0,0.0,30.0,2.9
355,2017,INDEPENDENT,MT HIRA COLLEGE,KEYSBOROUGH,16,0,0,61,0,0,100,100,1,0.0,0.0,27.0,2.2
356,2017,GOVERNMENT,MULLAUNA COLLEGE,MITCHAM,29,10,0,110,14,0,92,98,3,95.0,0.0,31.0,8.3
358,2017,GOVERNMENT,MURTOA P-12 COLLEGE,MURTOA,19,9,0,38,15,9,84,96,0,91.0,100.0,28.0,2.4
359,2017,GOVERNMENT,MYRTLEFORD P-12 COLLEGE,MYRTLEFORD,21,5,0,30,10,17,52,88,0,100.0,79.0,26.0,1.6
360,2017,CATHOLIC,NAGLE COLLEGE,BAIRNSDALE,40,19,0,165,126,37,51,99,1,94.0,90.0,26.0,1.6
362,2017,GOVERNMENT,NARRE WARREN SOUTH P-12 COLLEGE,NARRE WARREN SOUTH,46,28,0,262,240,235,97,98,3,100.0,100.0,30.0,3.8
363,2017,GOVERNMENT,NATHALIA SECONDARY COLLEGE,NATHALIA,28,16,0,29,33,15,66,100,0,75.0,91.0,28.0,2.2
364,2017,CATHOLIC,NAZARETH COLLEGE,NOBLE PARK NORTH,38,19,0,143,63,26,98,100,1,92.0,97.0,29.0,5.0
365,2017,GOVERNMENT,NEERIM DISTRICT SECONDARY COLLEGE,NEERIM SOUTH,24,9,0,28,25,12,92,100,0,95.0,91.0,28.0,6.2
366,2017,GOVERNMENT,NEWCOMB SECONDARY COLLEGE,NEWCOMB,39,25,0,63,118,73,51,91,1,97.0,77.0,24.0,0.0
367,2017,INDEPENDENT,NEWHAVEN COLLEGE,RHYLL,31,3,0,137,33,0,79,100,4,97.0,0.0,31.0,5.2
368,2017,GOVERNMENT,NHILL COLLEGE,NHILL,34,14,0,50,22,12,74,100,1,88.0,96.0,29.0,7.5
369,2017,GOVERNMENT,NOBLE PARK SECONDARY COLLEGE,NOBLE PARK,30,12,0,103,47,47,76,97,3,72.0,91.0,25.0,2.1
370,2017,GOVERNMENT,NORTH GEELONG SECONDARY COLLEGE,GEELONG NORTH,49,27,0,122,120,104,84,96,0,64.0,89.0,25.0,1.9
371,2017,INDEPENDENT,NORTH MELBOURNE GRAMMAR COLLEGE,NORTH MELBOURNE,9,1,0,24,0,0,73,80,0,0.0,0.0,22.0,0.0
372,2017,GOVERNMENT,NORTHCOTE HIGH SCHOOL,NORTHCOTE,60,30,0,442,153,12,91,99,25,85.0,78.0,31.0,8.9
373,2017,GOVERNMENT,NORTHERN BAY P-12 COLLEGE,CORIO,40,29,0,74,93,71,55,88,0,70.0,48.0,22.0,0.0
374,2017,GOVERNMENT,NORTHERN COLLEGE OF THE ARTS AND TECHNOLOGY,PRESTON EAST,56,28,0,289,391,232,37,94,1,94.0,99.0,27.0,4.6
375,2017,INDEPENDENT,NORTHSIDE CHRISTIAN COLLEGE,BUNDOORA,20,8,0,28,13,0,62,100,2,98.0,0.0,30.0,10.4
376,2017,GOVERNMENT,NORWOOD SECONDARY COLLEGE,RINGWOOD,40,23,0,242,101,31,74,98,2,92.0,98.0,28.0,3.3
377,2017,SELECTIVE,NOSSAL HIGH SCHOOL,BERWICK,45,3,0,424,21,0,99,100,47,100.0,0.0,36.0,21.5
378,2017,CATHOLIC,NOTRE DAME COLLEGE,SHEPPARTON,66,39,0,395,628,122,75,99,3,88.0,84.0,29.0,6.7
379,2017,GOVERNMENT,NUMURKAH SECONDARY COLLEGE,NUMURKAH,29,18,0,35,44,35,25,100,0,76.0,73.0,23.0,0.0
380,2017,INDEPENDENT,NUNAWADING CHRISTIAN COLLEGE - SECONDARY CAMPUS,NUNAWADING,18,3,0,43,4,0,96,100,0,100.0,0.0,30.0,8.2
381,2017,INDEPENDENT,OAKLEIGH GRAMMAR,OAKLEIGH,26,3,0,80,0,0,95,100,6,0.0,0.0,30.0,3.1
383,2017,GOVERNMENT,OBERON HIGH SCHOOL,BELMONT,44,18,0,124,33,28,65,100,5,95.0,91.0,29.0,4.3
384,2017,GOVERNMENT,ORBOST SECONDARY COLLEGE,ORBOST,17,7,0,60,69,18,63,95,0,62.0,87.0,22.0,0.0
385,2017,CATHOLIC,OUR LADY OF MERCY COLLEGE,HEIDELBERG,49,13,0,339,65,12,96,100,32,93.0,100.0,32.0,11.0
386,2017,CATHOLIC,OUR LADY OF SACRED HEART COLLEGE,BENTLEIGH,49,16,0,169,191,16,98,98,3,100.0,100.0,32.0,8.2
387,2017,CATHOLIC,OUR LADY OF SION COLLEGE,BOX HILL,45,16,0,217,31,9,94,100,12,94.0,80.0,33.0,11.3
389,2017,INDEPENDENT,OVERNEWTON ANGLICAN COMMUNITY COLLEGE,KEILOR,41,6,0,245,158,0,93,100,6,98.0,0.0,30.0,6.7
390,2017,INDEPENDENT,OXLEY CHRISTIAN COLLEGE,CHIRNSIDE PARK,36,7,0,151,7,0,93,100,6,100.0,0.0,32.0,10.0
392,2017,CATHOLIC,PADUA COLLEGE,MORNINGTON,58,37,0,443,242,64,80,99,8,94.0,87.0,29.0,3.9
393,2017,GOVERNMENT,PAKENHAM SECONDARY COLLEGE,PAKENHAM,54,36,0,130,119,84,96,100,0,97.0,79.0,27.0,1.8
394,2017,CATHOLIC,PARADE COLLEGE,BUNDOORA,60,21,0,359,281,123,91,100,23,89.0,99.0,31.0,6.6
395,2017,GOVERNMENT,PARKDALE SECONDARY COLLEGE,MORDIALLOC,59,32,0,360,198,71,68,97,7,98.0,96.0,29.0,3.7
397,2017,GOVERNMENT,PASCOE VALE GIRLS SECONDARY COLLEGE,PASCOE VALE,39,15,0,266,101,36,91,93,20,78.0,76.0,27.0,2.7
399,2017,INDEPENDENT,PENINSULA GRAMMAR,MOUNT ELIZA,44,11,0,284,16,0,92,100,8,83.0,0.0,33.0,14.9
400,2017,INDEPENDENT,PENLEIGH AND ESSENDON GRAMMAR SCHOOL,KEILOR EAST,38,5,0,288,9,0,95,100,68,85.0,0.0,35.0,24.0
401,2017,CATHOLIC,PENOLA CATHOLIC COLLEGE,BROADMEADOWS,57,31,0,263,243,70,81,99,8,92.0,91.0,29.0,2.1
403,2017,GOVERNMENT,PHOENIX P-12 COMMUNITY COLLEGE,SEBASTOPOL,37,16,0,150,125,62,73,99,0,79.0,89.0,26.0,1.9
405,2017,INDEPENDENT,PLENTY VALLEY CHRISTIAN COLLEGE,DOREEN,40,22,0,104,70,15,89,100,2,91.0,100.0,30.0,5.8
407,2017,GOVERNMENT,PORTLAND SECONDARY COLLEGE,PORTLAND,36,13,0,141,103,41,62,97,0,80.0,69.0,26.0,0.6
409,2017,CATHOLIC,PRESENTATION COLLEGE WINDSOR,WINDSOR,48,20,0,152,60,8,95,99,6,89.0,100.0,30.0,6.6
410,2017,INDEPENDENT,PRESHIL THE MARGARET LYTTLE MEMORIAL SCHOOL,KEW,22,8,0,47,11,0,84,96,0,85.0,0.0,29.0,3.0
414,2017,GOVERNMENT,RED CLIFFS SECONDARY COLLEGE,RED CLIFFS,32,19,0,139,77,50,39,99,0,68.0,79.0,24.0,2.3
415,2017,GOVERNMENT,RESERVOIR HIGH SCHOOL,RESERVOIR,40,17,0,122,56,18,85,97,8,81.0,96.0,27.0,3.0
416,2017,GOVERNMENT,RINGWOOD SECONDARY COLLEGE,RINGWOOD,76,34,0,351,112,49,89,97,11,80.0,86.0,29.0,6.2
420,2017,GOVERNMENT,ROCHESTER SECONDARY COLLEGE,ROCHESTER,32,15,0,92,52,29,75,98,4,79.0,99.0,27.0,1.5
421,2017,GOVERNMENT,ROSEBUD SECONDARY COLLEGE,ROSEBUD,59,32,0,216,123,73,73,99,6,89.0,86.0,28.0,1.8
422,2017,GOVERNMENT,ROSEHILL SECONDARY COLLEGE,NIDDRIE,44,12,0,216,41,31,80,99,4,89.0,88.0,29.0,2.4
423,2017,GOVERNMENT,ROWVILLE SECONDARY COLLEGE,ROWVILLE,72,41,0,492,232,111,58,94,4,78.0,80.0,27.0,1.5
424,2017,GOVERNMENT,ROXBURGH COLLEGE,ROXBURGH PARK,33,15,0,253,383,107,93,92,1,85.0,83.0,25.0,1.3
426,2017,GOVERNMENT,RUTHERGLEN HIGH SCHOOL,RUTHERGLEN,22,9,0,66,62,13,40,97,0,88.0,88.0,26.0,3.0
427,2017,INDEPENDENT,RUYTON GIRLS' SCHOOL,KEW,37,7,0,160,18,0,100,100,27,100.0,0.0,36.0,26.8
428,2017,CATHOLIC,SACRE COEUR,GLEN IRIS,36,4,0,156,5,0,100,100,16,100.0,0.0,36.0,26.3
429,2017,CATHOLIC,SACRED HEART COLLEGE,YARRAWONGA,31,17,0,53,88,21,100,100,0,98.0,93.0,28.0,1.0
430,2017,CATHOLIC,SACRED HEART COLLEGE GEELONG,NEWTOWN,69,33,0,387,205,59,90,100,13,99.0,98.0,34.0,13.6
431,2017,CATHOLIC,SACRED HEART COLLEGE KYNETON,KYNETON,46,20,0,180,125,26,87,100,4,87.0,99.0,31.0,9.4
432,2017,CATHOLIC,SACRED HEART GIRLS' COLLEGE OAKLEIGH,HUGHESDALE,44,9,0,213,21,0,99,100,20,100.0,0.0,34.0,13.6
433,2017,CATHOLIC,SAINT IGNATIUS COLLEGE GEELONG,DRYSDALE,50,25,0,195,58,45,69,100,4,96.0,91.0,32.0,7.9
434,2017,GOVERNMENT,SALE COLLEGE,SALE,41,18,0,160,94,69,64,96,2,83.0,84.0,25.0,0.9
436,2017,CATHOLIC,SALESIAN COLLEGE SUNBURY,SUNBURY,49,29,0,205,131,61,89,99,3,80.0,79.0,29.0,2.3
437,2017,GOVERNMENT,SANDRINGHAM COLLEGE,SANDRINGHAM,56,23,0,277,153,46,79,97,6,90.0,89.0,29.0,3.5
439,2017,GOVERNMENT,SCORESBY SECONDARY COLLEGE,SCORESBY,21,15,0,50,27,18,76,100,3,90.0,93.0,24.0,0.0
440,2017,INDEPENDENT,SCOTCH COLLEGE,HAWTHORN,46,5,0,439,8,0,97,100,82,71.0,0.0,36.0,26.8
442,2017,GOVERNMENT,SEYMOUR COLLEGE,SEYMOUR,30,22,0,85,122,25,72,88,1,96.0,87.0,25.0,2.6
443,2017,INDEPENDENT,SHELFORD GIRLS' GRAMMAR,CAULFIELD,42,12,0,137,22,0,97,100,19,100.0,0.0,36.0,25.4
445,2017,INDEPENDENT,SHEPPARTON CHRISTIAN COLLEGE,SHEPPARTON,33,14,0,33,22,9,56,100,0,77.0,68.0,28.0,10.5
446,2017,GOVERNMENT,SHEPPARTON HIGH SCHOOL,SHEPPARTON,47,23,0,125,94,85,72,84,0,72.0,86.0,24.0,2.0
448,2017,CATHOLIC,SIENA COLLEGE,CAMBERWELL,41,9,0,164,14,0,100,100,5,98.0,0.0,34.0,14.3
449,2017,CATHOLIC,SIMONDS CATHOLIC COLLEGE,FITZROY NORTH,34,18,0,107,45,15,92,98,6,84.0,95.0,31.0,4.2
450,2017,INDEPENDENT,SIRIUS COLLEGE - EASTMEADOWS CAMPUS,BROADMEADOWS,17,0,0,138,0,0,100,100,9,0.0,0.0,31.0,9.4
454,2017,GOVERNMENT,SOMERVILLE SECONDARY COLLEGE,SOMERVILLE,26,18,0,47,21,24,38,94,0,93.0,94.0,25.0,2.0
455,2017,GOVERNMENT,SOUTH OAKLEIGH SECONDARY COLLEGE,OAKLEIGH SOUTH,30,2,0,84,25,0,72,97,2,83.0,0.0,29.0,3.0
459,2017,GOVERNMENT,ST ALBANS SECONDARY COLLEGE,ST ALBANS,48,25,0,257,228,92,90,95,18,84.0,91.0,30.0,8.4
460,2017,CATHOLIC,ST ALOYSIUS COLLEGE,NORTH MELBOURNE,35,13,0,110,26,10,97,100,8,100.0,100.0,32.0,4.9
461,2017,INDEPENDENT,ST ANDREWS CHRISTIAN COLLEGE,WANTIRNA SOUTH,32,8,0,58,11,0,96,100,3,100.0,0.0,32.0,10.8
462,2017,GOVERNMENT,ST ARNAUD SECONDARY COLLEGE,ST ARNAUD,22,12,0,30,26,15,81,100,0,70.0,83.0,26.0,1.0
463,2017,CATHOLIC,ST AUGUSTINE'S COLLEGE,KYABRAM,32,20,0,69,42,10,86,93,0,95.0,94.0,29.0,3.8
464,2017,CATHOLIC,ST BEDE'S COLLEGE,MENTONE,45,19,0,349,118,43,85,100,6,96.0,100.0,31.0,7.9
465,2017,CATHOLIC,ST BERNARD'S COLLEGE,ESSENDON,46,24,0,314,144,26,90,100,5,93.0,95.0,31.0,8.0
466,2017,CATHOLIC,ST BRIGID'S COLLEGE,HORSHAM,36,19,0,104,57,85,77,98,0,69.0,85.0,28.0,2.7
467,2017,INDEPENDENT,ST CATHERINE'S SCHOOL,TOORAK,36,8,0,161,19,0,98,100,25,96.0,0.0,34.0,20.0
468,2017,CATHOLIC,ST COLUMBA'S COLLEGE,ESSENDON,53,14,0,237,55,12,98,100,10,96.0,90.0,32.0,11.9
469,2017,CATHOLIC,ST FRANCIS XAVIER COLLEGE,BEACONSFIELD,56,28,0,513,417,147,76,99,17,95.0,90.0,29.0,4.3
470,2017,GOVERNMENT,ST HELENA SECONDARY COLLEGE,ELTHAM,54,28,0,389,301,37,87,99,1,85.0,94.0,30.0,5.7
472,2017,CATHOLIC,ST JOHN'S REGIONAL COLLEGE,DANDENONG,46,21,0,204,138,30,88,99,5,94.0,98.0,28.0,3.0
473,2017,CATHOLIC,ST JOSEPH'S COLLEGE ECHUCA,ECHUCA,41,22,0,261,224,22,74,96,1,93.0,95.0,28.0,1.8
474,2017,CATHOLIC,ST JOSEPH'S COLLEGE FERNTREE GULLY,FERNTREE GULLY,51,29,0,270,343,66,87,99,1,89.0,98.0,30.0,6.4
475,2017,CATHOLIC,ST JOSEPH'S COLLEGE MILDURA,MILDURA,48,27,0,173,91,40,73,100,2,77.0,89.0,29.0,6.3
476,2017,CATHOLIC,ST JOSEPH'S COLLEGE NEWTOWN,NEWTOWN,51,22,0,387,236,55,71,99,3,98.0,99.0,31.0,10.0
477,2017,CATHOLIC,ST KEVIN'S COLLEGE TOORAK,TOORAK,39,5,0,371,8,0,97,100,24,100.0,0.0,37.0,30.8
478,2017,INDEPENDENT,ST LEONARDS COLLEGE,BRIGHTON EAST,37,5,1,174,23,0,87,100,8,99.0,0.0,34.0,15.9
479,2017,INDEPENDENT,ST MARGARETS SCHOOL,BERWICK,26,3,0,97,0,0,100,100,9,0.0,0.0,35.0,20.4
480,2017,CATHOLIC,ST MARY MACKILLOP COLLEGE,SWAN HILL,33,15,0,113,143,32,94,100,0,96.0,91.0,29.0,4.6
481,2017,CATHOLIC,ST MARY OF THE ANGELS SCHOOL,NATHALIA,49,34,0,141,82,45,81,100,0,81.0,90.0,27.0,1.9
482,2017,INDEPENDENT,ST MARY'S COPTIC ORTHODOX COLLEGE,COOLAROO,17,0,0,120,0,0,94,100,6,0.0,0.0,27.0,7.6
483,2017,INDEPENDENT,ST MICHAEL'S GRAMMAR SCHOOL,ST KILDA,40,9,0,189,16,0,91,100,17,93.0,0.0,33.0,15.3
484,2017,CATHOLIC,ST MONICA'S COLLEGE,EPPING,54,16,0,383,280,52,87,100,15,97.0,97.0,30.0,6.6
485,2017,CATHOLIC,ST PATRICK'S COLLEGE,BALLARAT,40,21,0,357,258,23,80,98,5,96.0,100.0,29.0,3.2
487,2017,CATHOLIC,ST PETER'S COLLEGE,CRANBOURNE,59,34,0,287,196,59,80,100,4,88.0,92.0,27.0,2.3
488,2017,INDEPENDENT,ST THOMAS AQUINAS COLLEGE,TYNONG,12,0,0,25,0,0,65,100,3,0.0,0.0,28.0,2.9
489,2017,CATHOLIC,STAR OF THE SEA COLLEGE,BRIGHTON,49,13,0,268,53,8,99,100,12,94.0,95.0,33.0,14.8
490,2017,GOVERNMENT,STAUGHTON COLLEGE,MELTON SOUTH,42,28,0,139,79,80,64,94,0,64.0,65.0,26.0,0.6
492,2017,INDEPENDENT,STOTT'S COLLEGES,MELBOURNE,11,0,0,24,0,0,95,100,5,0.0,0.0,27.0,6.2
493,2017,INDEPENDENT,STRATHCONA BAPTIST GIRLS GRAMMAR SCHOOL,CANTERBURY,33,3,0,163,0,0,98,100,25,0.0,0.0,36.0,25.8
494,2017,GOVERNMENT,STRATHMORE SECONDARY COLLEGE,STRATHMORE,47,10,0,371,26,0,91,98,16,90.0,0.0,32.0,9.0
495,2017,GOVERNMENT,SUNBURY COLLEGE,SUNBURY,40,24,0,200,173,25,74,97,2,90.0,88.0,27.0,2.0
500,2017,SELECTIVE,SUZANNE CORY HIGH SCHOOL,WERRIBEE,36,0,0,403,0,0,99,100,49,0.0,0.0,35.0,19.7
501,2017,GOVERNMENT,SWAN HILL COLLEGE,SWAN HILL,33,24,0,199,264,115,76,99,0,90.0,75.0,25.0,3.0
503,2017,GOVERNMENT,SWINBURNE SENIOR SECONDARY COLLEGE,HAWTHORN,55,25,0,262,85,36,79,91,1,78.0,99.0,28.0,0.8
506,2017,GOVERNMENT,TALLANGATTA SECONDARY COLLEGE,TALLANGATTA,32,18,0,85,93,23,64,100,0,93.0,71.0,28.0,0.5
507,2017,GOVERNMENT,TARNEIT SENIOR COLLEGE,TARNEIT,36,14,0,160,28,28,89,97,2,76.0,89.0,26.0,0.6
508,2017,GOVERNMENT,TAYLORS LAKES SECONDARY COLLEGE,TAYLORS LAKES,47,24,0,269,144,78,91,99,5,92.0,89.0,27.0,2.3
509,2017,GOVERNMENT,TEMPLESTOWE COLLEGE,TEMPLESTOWE LOWER,59,24,0,275,78,21,52,85,0,84.0,76.0,28.0,2.9
510,2017,GOVERNMENT,TERANG COLLEGE SECONDARY CAMPUS,TERANG,27,16,0,35,29,15,92,100,0,89.0,90.0,29.0,5.3
513,2017,INDEPENDENT,THE GEELONG COLLEGE,NEWTOWN,38,7,0,243,28,0,95,99,29,94.0,0.0,34.0,19.1
514,2017,GOVERNMENT,THE GRANGE P-12 COLLEGE,HOPPERS CROSSING,30,19,0,158,133,74,69,94,0,85.0,83.0,25.0,1.4
515,2017,INDEPENDENT,THE HAMILTON AND ALEXANDRA COLLEGE,HAMILTON,37,10,0,127,58,0,93,100,6,99.0,0.0,32.0,12.7
516,2017,INDEPENDENT,THE KING DAVID SCHOOL- SENIOR SCHOOL,ARMADALE,39,11,0,124,67,0,94,100,5,97.0,0.0,36.0,25.3
517,2017,INDEPENDENT,THE KNOX SCHOOL,WANTIRNA SOUTH,35,7,0,134,27,0,95,100,3,86.0,0.0,32.0,8.5
518,2017,CATHOLIC,THOMAS CARR COLLEGE,TARNEIT,50,34,0,317,137,63,90,99,9,95.0,96.0,27.0,1.3
519,2017,GOVERNMENT,THOMASTOWN SECONDARY COLLEGE,THOMASTOWN,32,15,0,87,30,0,74,95,0,91.0,0.0,23.0,1.9
520,2017,GOVERNMENT,THORNBURY HIGH SCHOOL,THORNBURY,49,26,0,202,119,72,95,98,2,78.0,88.0,30.0,4.5
521,2017,GOVERNMENT,TIMBOON P-12 SCHOOL,TIMBOON,25,18,0,35,37,13,61,100,0,100.0,96.0,28.0,0.0
522,2017,INDEPENDENT,TINTERN GRAMMAR,RINGWOOD EAST,38,8,1,128,33,0,93,100,6,85.0,0.0,31.0,8.5
523,2017,INDEPENDENT,TOORAK COLLEGE,MOUNT ELIZA,38,8,0,133,14,5,92,100,17,100.0,100.0,34.0,17.7
524,2017,GOVERNMENT,TRAFALGAR HIGH SCHOOL,TRAFALGAR,25,16,0,120,34,36,87,100,0,68.0,94.0,28.0,3.7
525,2017,GOVERNMENT,TRARALGON COLLEGE,TRARALGON,33,23,0,125,80,72,52,90,0,74.0,96.0,23.0,0.0
526,2017,CATHOLIC,TRINITY COLLEGE COLAC,COLAC,44,31,0,176,113,48,76,96,0,92.0,97.0,27.0,4.6
528,2017,GOVERNMENT,TYRRELL COLLEGE,SEA LAKE,20,10,0,32,42,7,91,100,0,94.0,100.0,29.0,10.4
530,2017,GOVERNMENT,UPPER YARRA SECONDARY COLLEGE,YARRA JUNCTION,30,15,0,85,58,38,90,95,0,87.0,68.0,26.0,1.7
531,2017,GOVERNMENT,UPWEY HIGH SCHOOL,UPWEY,43,27,0,153,102,40,66,87,0,95.0,77.0,27.0,1.7
532,2017,GOVERNMENT,VERMONT SECONDARY COLLEGE,VERMONT,49,20,0,277,35,0,96,100,17,99.0,0.0,31.0,8.3
534,2017,GOVERNMENT,VICTORIA UNIVERSITY SECONDARY COLLEGE - BRIMBANK CAMPUS,ST ALBANS,44,22,0,179,132,97,84,91,1,95.0,86.0,27.0,2.6
536,2017,GOVERNMENT,VICTORIAN COLLEGE OF THE ARTS SECONDARY SCHOOL,SOUTHBANK,24,1,0,195,26,0,68,94,2,97.0,0.0,35.0,23.3
